Date,Open,High,Low,Close,Adj Close,Volume
08-09-2021,81380,81429.64844,79810,80240,79835.1875,9413
09-09-2021,80300,81469.95313,79800,79867.89844,79464.94531,14454
13-09-2021,79800,80407.10156,79250,80243.60156,79838.77344,7150
14-09-2021,80230,80847.04688,80052.04688,80423.85156,80018.10938,9958
15-09-2021,80521,80995,80116.64844,80210.14844,79805.47656,9413
16-09-2021,80600,80600,79801,79971.70313,79568.24219,6457
17-09-2021,80000,80339.79688,78851,79397.25,78996.67969,13253
20-09-2021,79190,79950,78510,78875.45313,78477.50781,11737
21-09-2021,78870,79031.29688,78050,78373.75,77978.33594,10584
22-09-2021,78500,80550,78500,79993.79688,79590.21875,16457
23-09-2021,80600,80999,80001.54688,80220.70313,79815.99219,6530
24-09-2021,80500,80690,79055.04688,79456.5,79055.63281,11095
27-09-2021,79949,82000,79144.64844,81893.39844,81480.23438,20927
28-09-2021,81759.39844,81890,79810,80488.60156,80082.52344,14053
29-09-2021,80306.10156,80431.5,78901.04688,79056.70313,78657.85156,25732
30-09-2021,79550,79679.95313,78652.04688,79375.54688,78975.08594,16379
01-10-2021,79000,79370,78510,78994.39844,78595.85938,8506
04-10-2021,79477.20313,80551.95313,79400,79787,79384.46094,10101
05-10-2021,79750,80070,79232,79407.20313,79006.59375,5361
06-10-2021,79645,79890,78500,78629.5,78232.79688,9556
07-10-2021,79149.95313,81446.39844,78860.10156,81272.54688,80862.51563,22060
08-10-2021,81300,86373.45313,81100.10156,85860.45313,85427.27344,54225
11-10-2021,85860,87550,84720.45313,84932.89844,84504.40625,28671
12-10-2021,85000,86199.95313,84380.20313,85617.5,85185.54688,16687
13-10-2021,86158,86800,85440,86106.54688,85672.125,11972
14-10-2021,86335,86600,84999.89844,85166.45313,84736.78125,7265
18-10-2021,85300,86900,84000,84314.10156,83888.73438,20490
19-10-2021,84839,85176.25,82589.35156,83013.20313,82594.38281,15834
20-10-2021,83150,83382.45313,81000,82516.54688,82100.23438,28021
21-10-2021,83278.79688,83399.95313,80900.54688,81091.45313,80682.32813,18125
22-10-2021,81100.04688,82273.25,80080,80800.39844,80392.75,24048
25-10-2021,81499.95313,81499.95313,79016.45313,79429.45313,79028.72656,19941
26-10-2021,79500,80500,79283.70313,80093.75,79689.64844,7847
27-10-2021,80494,80575,79200,79372.79688,78972.35156,6723
28-10-2021,79373,79709.20313,77300,77609.35156,77217.80469,12606
29-10-2021,77999.95313,78400,76650,77308.14844,76918.11719,9403
01-11-2021,77694,78978.14844,77250,78741.04688,78343.78125,7650
02-11-2021,78350,79390,78350,78585.20313,78188.73438,6829
03-11-2021,78860,79190,77800,77968.89844,77575.53906,7732
04-11-2021,78375,78633.95313,78100.04688,78412.5,78016.89844,1245
08-11-2021,78880,80308,78550,79942.25,79538.92969,9209
